,high_formula,high_mpid,low_formula,low_mpid,average_voltage,battery_id,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume
88,Mn5O5F,mp-767352,LiMn5O5F,mp-764332,2.2322603800000045,mp-764332_Li,70.41409972548436,264.4685697382938,157.18260501056793,590.3627099820615,0.0843728603577942
89,Mn3Co3(CuO8)2,mp-770859,Li4Mn3Co3(CuO8)2,mp-771073,4.086224092500002,mp-770859_Li,142.4738967229235,653.4084822880997,582.1802693415672,2669.9734825694936,0.100713202109075
90,Li2Fe(BO3)2,mp-767828,Li3Fe(BO3)2,mp-773213,4.391737197499998,mp-1176790_Li,137.94831422194068,390.9272540651672,605.8327429009148,1716.849763194527,0.0391088166970599
91,Li3Fe3(BO3)4,mp-767662,Li4Fe3(BO3)4,mp-767682,3.2668900149999778,mp-767662_Li,122.5275550897769,374.829940796483,362.1115642668226,1107.75291399885,0.0054985100779354
92,Li2V(OF)2,mp-764690,Li3V(OF)2,mp-765836,2.53878685,mp-764690_Li,189.06222658033823,605.7307115087873,479.9886946738831,1537.8211650196524,0.0017135250086
93,LiV(OF)2,mp-765956,Li3V2(OF)4,mp-776500,3.005058600000003,mp-765956_Li,102.02423189261054,319.85911016970704,306.5887954572839,961.1953698038266,0.0342718996020561
94,V3OF11,mp-777223,LiV3OF11,mp-776664,4.419785679999995,mp-776664_Li,69.65995318022844,202.66667611031767,307.88206353544376,895.7432728855791,0.0499210175315636
95,V3OF11,mp-778699,LiV3OF11,mp-1176550,4.4919440250000005,mp-1176550_Li,69.65995318022844,204.40730078566327,312.9086104697069,918.1861534305384,0.0424367457489998
96,V3OF11,mp-764053,LiV3OF11,mp-1176554,4.280633540000002,mp-1176554_Li,69.65995318022844,199.7982517987189,298.18873197811564,855.2630978829617,0.068077350910888
97,V3OF11,mp-764082,Li4V3OF11,mp-780283,3.933942905,mp-764082_Li,264.33374465647705,773.0865492589218,1039.8738593434296,3041.278345408068,0.1045458497262918
98,FeP2O7,mp-540177,LiFeP2O7,mp-697764,5.185840882500007,mp-1101516_Li,113.2157220887838,361.0203372344266,587.118720149774,1872.194024244229,0.04685735474961
99,CrCo3O8,mp-765865,LiCrCo3O8,mp-763181,4.542407240000008,mp-763181_Li,278.7792578034697,1233.2008175883122,980.0311079816998,4335.240624239763,0.0080447372319354
100,Cr2(SO4)3,mp-770163,Li2Cr2(SO4)3,mp-770410,2.853732219999996,mp-770163_Li,132.0068430744549,355.141918106835,376.71218134205526,1013.479934374075,0.1967509946340013
101,Cr(SO4)2,mp-851282,LiCr(SO4)2,mp-780338,5.286667796250006,mp-780338_Li,207.760763961156,572.0653219069482,860.3737573996684,2369.0228178943075,0.0229740175878507
102,LiCoCuO4,mp-767935,Li2CoCuO4,mp-767275,3.630536324999999,mp-767275_Li,133.76743135358572,651.7146714571335,485.64751863113673,2366.073788260563,0.0080205065621479
103,Li3Fe2(BO4)2,mp-763208,Li2FeBO4,mp-771409,4.604772160000001,mp-763208_Li,181.0836266630204,481.9290944193348,558.65181472409,1486.7747467125316,0.0451351671208628
104,Cr(SO4)2,mp-773979,LiCr(SO4)2,mp-861585,5.325289973333332,mp-773979_Li,106.75231349449784,296.4074185766484,568.4870246823858,1578.4554541678417,0.0182355212841878
105,Cr(SO4)2,mp-765763,LiCr(SO4)2,mp-776761,5.314768330000012,mp-765763_Li,106.75231349449784,295.7050714638398,567.3638149147899,1571.603948836406,0.000721845918242
106,V6O5F19,mp-765700,Li5V6O5F19,mp-779194,4.113350103999999,mp-765700_Li,171.51396795783833,495.0225088334921,705.4969979368267,2036.200888192585,0.0502522042352795
108,LiCr2CoO6,mp-763359,Li2Cr2CoO6,mp-762918,4.005596389999999,mp-762918_Li,191.61379825672648,808.533159738027,683.9460165317599,2885.9771001238337,0.0077623470893317
109,Li2Cr3CoO8,mp-769974,Li4Cr3CoO8,mp-770234,3.6205490499999984,mp-769711_Li,144.60683665357678,621.9941675970176,523.5561450696124,2251.9603925989218,0.0186490478197456
110,LiCo2CuO6,mp-767908,Li3Co2CuO6,mp-767299,3.254474495000005,mp-763314_Li,179.7359118305239,819.6437090867022,584.9459408880098,2667.5095462098766,0.058078431164193
111,Fe(PO3)3,mp-763780,LiFe(PO3)3,mp-762657,3.685603384999984,mp-762657_Li,89.42713612502811,258.0514016479606,329.592955613258,951.075119417714,0.025989411611706
112,Fe2P5O16,mp-1101584,Li3Fe2P5O16,mp-31885,3.749806203333327,mp-1101584_Li,147.97305160075996,412.8651838719449,554.8702668186921,1548.1644276233735,0.0347432851925879
